,Title,Author
*,A Critique for Ecologyæ,RH Peters
*,A Neotropical Companion,John Kricher
*,A Sand County Almanac,Aldo Leopold
*,A Short History of Nearly Everything,Bill Bryson
*,Desert Solitaire,Edward Abbey
*,Ecological Niches: Linking Classical and Contemporary Approaches by ,Chase & Leibold
*,Ever Since Darwin: Reflections in Natural History,Steven J Gould
*,Eye of the Albatross,Carl Safina
*,Foundations of Ecology: Classic Papers with Commentaries,LA Real & Brown
*,Gorillas in the Mist,Diane Fossey
*,History of the Ecosystem Concept,Frank Golley
*,Ignorance: How It Drives Science,Stuart Firestein
*,Illustrated Guide to Theoretical Ecology,Ted Case
*,King SolomonÍs Ring,Konrad Lorenz
*,Letters to a young scientist,EO Wilson 
*,Method in Ecology: strategies for conservation,"KS Shrader-Frechette, ED McCoy"
*,Modeling Nature,SE Kingsland
*,My first summer in the Sierra,John Muir
*,On the Origin of Species,Charles Darwin
*,One River,Wade Davis
*,Rambunctious Garden,Emma Marris
*,Requiem for Nature,John Terborgh
*,Silent Spring ,Rachel Carson
*,Storms of My Grandchildren,James Hansen
*,The Background of Ecologyæ,RP MacIntosh
*,The Beak of the Finch,Jonathan Weiner
*,The Blind Watchmaker,Richard Dawkins
*,The Diversity of Life,E. O. Wilson
*,The Double Helix,James D. Watson
*,The Ecological Detective: confronting models with data,R Hilborn & M Mangel
*,The Future Eaters,Tim Flannery
*,The Idea of Biodiversity: philosophies of paradise,D Takacs
*,The Song of the Dodo,David Quammen
*,The Theory of Ecology,SM Scheiner & MR Willig
*,The Voyage of the Beagle,Charles Darwin
*,The Weather Makers,Tim Flannery
*,The Worst Journey in the World,Apsley Cherry-Garrard
*,Towards a Unified Ecology,Allen & Hoekstra
*,Tropical Nature,Adrian Forsyth
*,Unified Neutral Theory of Biodiversity and Biogeography,"EG Leigh Jr, J Rosindell, RS Etienne"
*,Where the Wild Things Were,William Stolzenbug
