species,picked,wider.petal,longer.petal
Plant sp 1,1,wider,longer
Plant sp 2,1,wider,longer
Plant sp 3,1,wider,longer
Plant sp 4,1,wider,longer
Plant sp 5,1,wider,longer
Plant sp 6,1,wider,longer
Plant sp 7,1,wider,longer
Plant sp 8,0,wider,longer
Plant sp 9,1,wider,longer
Plant sp 10,1,wider,longer
Plant sp 11,0,wider,longer
Plant sp 12,1,wider,longer
Plant sp 13,1,wider,longer
Plant sp 14,0,wider,longer
Plant sp 15,1,wider,longer
Plant sp 16,1,wider,longer
Plant sp 17,1,wider,longer
Plant sp 18,1,wider,longer
Plant sp 19,1,wider,longer
Plant sp 20,1,wider,longer
Plant sp 21,1,wider,longer
Plant sp 22,1,wider,longer
Plant sp 23,1,wider,longer
Plant sp 24,1,wider,longer
Plant sp 25,1,wider,longer
Plant sp 26,0,thinner,longer
Plant sp 27,0,thinner,longer
Plant sp 28,0,thinner,longer
Plant sp 29,0,thinner,longer
Plant sp 30,0,thinner,longer
Plant sp 31,0,thinner,longer
Plant sp 32,0,thinner,longer
Plant sp 33,0,thinner,longer
Plant sp 34,0,thinner,longer
Plant sp 35,0,thinner,longer
Plant sp 36,0,thinner,longer
Plant sp 37,0,thinner,longer
Plant sp 38,0,thinner,longer
Plant sp 39,0,thinner,longer
Plant sp 40,0,thinner,longer
Plant sp 41,0,thinner,longer
Plant sp 42,1,thinner,longer
Plant sp 43,1,thinner,longer
Plant sp 44,1,thinner,longer
Plant sp 45,1,thinner,longer
Plant sp 46,1,thinner,longer
Plant sp 47,1,thinner,longer
Plant sp 48,1,thinner,longer
Plant sp 49,1,thinner,longer
Plant sp 50,1,thinner,longer
Plant sp 51,1,wider,shorter
Plant sp 52,1,wider,shorter
Plant sp 53,1,wider,shorter
Plant sp 54,1,wider,shorter
Plant sp 55,1,wider,shorter
Plant sp 56,1,wider,shorter
Plant sp 57,1,wider,shorter
Plant sp 58,1,wider,shorter
Plant sp 59,1,wider,shorter
Plant sp 60,1,wider,shorter
Plant sp 61,1,wider,shorter
Plant sp 62,1,wider,shorter
Plant sp 63,1,wider,shorter
Plant sp 64,1,wider,shorter
Plant sp 65,1,wider,shorter
Plant sp 66,0,wider,shorter
Plant sp 67,0,wider,shorter
Plant sp 68,0,wider,shorter
Plant sp 69,0,wider,shorter
Plant sp 70,0,wider,shorter
Plant sp 71,0,wider,shorter
Plant sp 72,0,wider,shorter
Plant sp 73,0,wider,shorter
Plant sp 74,0,wider,shorter
Plant sp 75,0,wider,shorter
Plant sp 76,0,thinner,shorter
Plant sp 77,0,thinner,shorter
Plant sp 78,0,thinner,shorter
Plant sp 79,0,thinner,shorter
Plant sp 80,0,thinner,shorter
Plant sp 81,0,thinner,shorter
Plant sp 82,0,thinner,shorter
Plant sp 83,0,thinner,shorter
Plant sp 84,0,thinner,shorter
Plant sp 85,0,thinner,shorter
Plant sp 86,0,thinner,shorter
Plant sp 87,0,thinner,shorter
Plant sp 88,0,thinner,shorter
Plant sp 89,1,thinner,shorter
Plant sp 90,0,thinner,shorter
Plant sp 91,0,thinner,shorter
Plant sp 92,0,thinner,shorter
Plant sp 93,1,thinner,shorter
Plant sp 94,0,thinner,shorter
Plant sp 95,0,thinner,shorter
Plant sp 96,0,thinner,shorter
Plant sp 97,0,thinner,shorter
Plant sp 98,0,thinner,shorter
Plant sp 99,0,thinner,shorter
